County,HR_NAME,Crop_OpenAg,price_2,acres_2,yield_2,price_1,acres_1,yield_1,total_acres,fraction_1,fraction_2,Neighboring Counties,Neighboring HR
Alameda,San Francisco Bay,Grapes,,,,1497.69,2530.0,5.14,2530.0,1.0,,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']","['Central Coast', 'North Coast', 'San Joaquin River']"
Amador,San Joaquin River,Grapes,,,,1318.31,5360.0,2.31,5360.0,1.0,,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Calaveras,San Joaquin River,Grapes,,,,1325.99,579.0,3.06,579.0,1.0,,"['Tuolumne', 'Alpine', 'San Joaquin', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Colusa,Sacramento River,Grapes,,,,684.67,747.0,6.02,747.0,1.0,,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Contra Costa,San Francisco Bay,Grapes,,,,751.27,1940.0,4.69,1940.0,1.0,,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']","['Central Coast', 'North Coast', 'San Joaquin River']"
El Dorado,Sacramento River,Grapes,,,,1548.56,2620.0,2.38,2620.0,1.0,,"['Sacramento', 'Placer', 'Alpine', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Fresno,Tulare Lake,Grapes,1524.14,31600.0,11.39,362.14,56900.0,12.13,88500.0,0.6429378531073446,0.35706214689265536,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Humboldt,North Coast,Grapes,,,,,,,0.0,,,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']","['Sacramento River', 'San Francisco Bay']"
Kern,Tulare Lake,Grapes,1816.32,54600.0,13.08,314.04,25200.0,7.54,79800.0,0.3157894736842105,0.6842105263157895,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Kings,Tulare Lake,Grapes,1500.32,644.0,14.46,286.87,3590.0,16.46,4234.0,0.8478979688238073,0.15210203117619273,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Lake,Sacramento River,Grapes,,,,1329.37,9580.0,4.12,9580.0,1.0,,"['Sonoma', 'Napa', 'Mendocino', 'Yolo', 'Colusa', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Madera,San Joaquin River,Grapes,1945.27,1800.0,9.28,348.98,33000.0,11.82,34800.0,0.9482758620689655,0.05172413793103448,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Marin,San Francisco Bay,Grapes,,,,3607.69,195.0,1.33,195.0,1.0,,"['Sonoma', 'San Francisco', 'Solano', 'Contra Costa']","['Central Coast', 'North Coast', 'San Joaquin River']"
Mariposa,San Joaquin River,Grapes,,,,,,,0.0,,,"['Tuolumne', 'Madera', 'Merced', 'Stanislaus']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Mendocino,North Coast,Grapes,,,,1488.8,16400.0,3.37,16400.0,1.0,,"['Sonoma', 'Trinity', 'Humboldt', 'Tehama', 'Lake', 'Glenn']","['Sacramento River', 'San Francisco Bay']"
Merced,San Joaquin River,Grapes,,,,440.41,13200.0,10.91,13200.0,1.0,,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Monterey,Central Coast,Grapes,,,,1123.98,44900.0,2.1,44900.0,1.0,,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
Napa,San Francisco Bay,Grapes,,,,4646.48,45200.0,2.2,45200.0,1.0,,"['Sonoma', 'Solano', 'Yolo', 'Lake']","['Central Coast', 'North Coast', 'San Joaquin River']"
Nevada,Sacramento River,Grapes,,,,,408.0,,408.0,1.0,,"['Sierra', 'Placer', 'Yuba']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Placer,Sacramento River,Grapes,,,,2235.49,315.0,2.79,315.0,1.0,,"['Sacramento', 'El Dorado', 'Yuba', 'Nevada', 'Sutter']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Riverside,Colorado River,Grapes,2716.96,5650.0,5.82,1623.93,1740.0,6.72,7390.0,0.2354533152909337,0.7645466847090663,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']","['South Coast', 'South Lahontan']"
Sacramento,Sacramento River,Grapes,,,,528.73,36000.0,8.19,36000.0,1.0,,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']"
San Benito,Central Coast,Grapes,,,,1402.14,4740.0,5.23,4740.0,1.0,,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
San Bernardino,South Lahontan,Grapes,,,,1938.33,372.0,0.61,372.0,1.0,,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
San Diego,South Coast,Grapes,,,,1695.77,1370.0,2.24,1370.0,1.0,,"['Riverside', 'Orange', 'Imperial']","['Central Coast', 'Colorado River', 'South Lahontan', 'Tulare Lake']"
San Joaquin,San Joaquin River,Grapes,,,,560.71,91200.0,6.67,91200.0,1.0,,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
San Luis Obispo,Central Coast,Grapes,,,,1640.89,43800.0,3.04,43800.0,1.0,,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
San Mateo,San Francisco Bay,Grapes,,,,,176.0,,176.0,1.0,,"['San Francisco', 'Santa Clara', 'Alameda', 'Santa Cruz']","['Central Coast', 'North Coast', 'San Joaquin River']"
Santa Barbara,Central Coast,Grapes,,,,2192.43,14400.0,2.97,14400.0,1.0,,"['Ventura', 'Kern', 'San Luis Obispo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
Santa Clara,San Francisco Bay,Grapes,,,,1983.77,1730.0,3.49,1730.0,1.0,,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']","['Central Coast', 'North Coast', 'San Joaquin River']"
Santa Cruz,Central Coast,Grapes,,,,3008.75,670.0,2.39,670.0,1.0,,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
Shasta,Sacramento River,Grapes,,,,1000.0,200.0,2.5,200.0,1.0,,"['Lassen', 'Trinity', 'Modoc', 'Tehama', 'Plumas', 'Siskiyou']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Solano,Sacramento River,Grapes,,,,945.94,4000.0,5.6,4000.0,1.0,,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Sonoma,North Coast,Grapes,,,,2375.08,56800.0,2.61,56800.0,1.0,,"['Marin', 'Napa', 'Mendocino', 'Solano', 'Contra Costa', 'Lake']","['Sacramento River', 'San Francisco Bay']"
Stanislaus,San Joaquin River,Grapes,,,,440.61,8500.0,9.49,8500.0,1.0,,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Tehama,Sacramento River,Grapes,,,,1804.79,138.0,4.23,138.0,1.0,,"['Shasta', 'Trinity', 'Mendocino', 'Butte', 'Plumas', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Trinity,North Coast,Grapes,,,,,,,0.0,,,"['Shasta', 'Mendocino', 'Humboldt', 'Tehama', 'Siskiyou']","['Sacramento River', 'San Francisco Bay']"
Tulare,Tulare Lake,Grapes,1661.84,36800.0,9.29,317.0,6500.0,17.23,43300.0,0.15011547344110854,0.8498845265588915,"['Kings', 'Inyo', 'Kern', 'Fresno']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Yolo,Sacramento River,Grapes,,,,699.67,19200.0,7.81,19200.0,1.0,,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Colusa,Sacramento River,Tomatoes,77.04,12700.0,51.18,,,,12700.0,,1.0,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Fresno,Tulare Lake,Tomatoes,75.0,72400.0,52.5,1232.0,5020.0,13.43,77420.0,0.0648411263239473,0.9351588736760527,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Glenn,Sacramento River,Tomatoes,78.0,1720.0,43.08,,,,1720.0,,1.0,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Kern,Tulare Lake,Tomatoes,78.44,6880.0,57.99,,,,6880.0,,1.0,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Kings,Tulare Lake,Tomatoes,79.18,29600.0,53.82,,,,29600.0,,1.0,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Madera,San Joaquin River,Tomatoes,76.02,3400.0,52.35,463.05,500.0,21.0,3900.0,0.1282051282051282,0.8717948717948718,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Merced,San Joaquin River,Tomatoes,78.25,24600.0,46.59,636.59,5230.0,16.63,29830.0,0.17532685216225277,0.8246731478377473,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Riverside,Colorado River,Tomatoes,,,,,,,0.0,,,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']","['South Coast', 'South Lahontan']"
Sacramento,Sacramento River,Tomatoes,113.85,2110.0,27.96,,,,2110.0,,1.0,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']"
San Benito,Central Coast,Tomatoes,,,,1296.78,745.0,15.84,745.0,1.0,,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']","['San Francisco Bay', 'San Joaquin River', 'South Coast', 'Tulare Lake']"
San Diego,South Coast,Tomatoes,,,,,,,0.0,,,"['Riverside', 'Orange', 'Imperial']","['Central Coast', 'Colorado River', 'South Lahontan', 'Tulare Lake']"
San Joaquin,San Joaquin River,Tomatoes,81.51,15200.0,44.34,563.02,320.0,36.25,15520.0,0.020618556701030927,0.979381443298969,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Santa Clara,San Francisco Bay,Tomatoes,79.04,680.0,56.76,720.0,951.0,10.83,1631.0,0.583077866339669,0.4169221336603311,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']","['Central Coast', 'North Coast', 'San Joaquin River']"
Solano,Sacramento River,Tomatoes,77.55,9650.0,50.88,,,,9650.0,,1.0,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Sutter,Sacramento River,Tomatoes,77.98,12600.0,51.43,,,,12600.0,,1.0,"['Sacramento', 'Placer', 'Yolo', 'Yuba', 'Colusa', 'Butte']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Yolo,Sacramento River,Tomatoes,77.0,30700.0,53.91,,,,30700.0,,1.0,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']","['North Coast', 'North Lahontan', 'San Joaquin River']"
