,Crop_OpenAg,County,ACRES,Neighboring Counties,usda crop,price_2020,yield_2020
0,Alfalfa,Alameda,77.80064626000001,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']",Hay Alfalfa,219.79,5.5
1,Alfalfa,Alpine,68.84845651,"['Calaveras', 'Mono', 'Tuolumne', 'El Dorado', 'Amador']",,,
2,Alfalfa,Amador,664.42489738,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']",Hay Alfalfa,250.1,7.0
3,Alfalfa,Butte,494.68611914,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",Hay Alfalfa,200.0,7.0
4,Alfalfa,Colusa,6304.14101103,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']",Hay Alfalfa,201.32,7.21
5,Alfalfa,Contra Costa,3075.31760376,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",Hay Alfalfa,189.71,4.83
6,Alfalfa,Del Norte,222.8456727,"['Humboldt', 'Siskiyou']",,,
7,Alfalfa,Fresno,32558.93769292,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Hay Alfalfa,209.0,6.86
8,Alfalfa,Glenn,6468.08701318,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",Hay Alfalfa,181.98,6.57
9,Alfalfa,Humboldt,570.58130125,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']",,,
10,Alfalfa,Imperial,139647.71871206,"['San Diego', 'Riverside']",Hay Alfalfa,176.6,7.88
11,Alfalfa,Inyo,2166.63364528,"['Mono', 'San Bernardino', 'Kern', 'Fresno', 'Tulare']",Hay Alfalfa,200.38,
12,Alfalfa,Kern,39431.94193151,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",Hay Alfalfa,188.86,8.56
13,Alfalfa,Kings,26449.33211549,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",Hay Alfalfa,188.75,8.15
14,Alfalfa,Lassen,31134.32468229,"['Sierra', 'Shasta', 'Modoc', 'Plumas']",,,
15,Alfalfa,Los Angeles,5214.70105128,"['Ventura', 'San Bernardino', 'Kern', 'Orange']",,,
16,Alfalfa,Madera,8313.4732976,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",Hay Alfalfa,215.03,6.81
17,Alfalfa,Mendocino,59.74146224,"['Sonoma', 'Trinity', 'Humboldt', 'Tehama', 'Lake', 'Glenn']",,,
18,Alfalfa,Merced,45004.36579067,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",Hay Alfalfa,200.98,6.57
19,Alfalfa,Modoc,42419.43226854,"['Lassen', 'Shasta', 'Siskiyou']",Hay Alfalfa,169.96,7.0
20,Alfalfa,Mono,8529.40272797,"['Inyo', 'Tuolumne', 'Alpine', 'Fresno', 'Madera']",Hay Alfalfa,203.93,
21,Alfalfa,Monterey,537.37979147,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']",Hay Alfalfa,108.84,3.22
22,Alfalfa,Placer,438.01810194,"['Sacramento', 'El Dorado', 'Yuba', 'Nevada', 'Sutter']",,,
23,Alfalfa,Plumas,4542.76066419,"['Sierra', 'Lassen', 'Shasta', 'Yuba', 'Tehama', 'Butte']",Hay Alfalfa,224.85,3.5
24,Alfalfa,Riverside,48371.0911481,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']",Hay Alfalfa,207.82,8.0
25,Alfalfa,Sacramento,12145.09705846,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']",Hay Alfalfa,185.02,6.12
26,Alfalfa,San Benito,8.12339201,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']",,,
27,Alfalfa,San Bernardino,7599.44368523,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']",Hay Alfalfa,201.9,6.98
28,Alfalfa,San Diego,103.86428402,"['Riverside', 'Orange', 'Imperial']",,,
29,Alfalfa,San Joaquin,42353.97434502,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']",Hay Alfalfa,185.08,7.12
30,Alfalfa,San Luis Obispo,1278.80313098,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']",Hay Alfalfa,275.14,5.24
31,Alfalfa,Santa Barbara,382.12680612,"['Ventura', 'Kern', 'San Luis Obispo']",,,
32,Alfalfa,Santa Clara,84.58347712,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']",,,
33,Alfalfa,Santa Cruz,1.70544675,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']",,,
34,Alfalfa,Shasta,4424.34250394,"['Lassen', 'Trinity', 'Modoc', 'Tehama', 'Plumas', 'Siskiyou']",Hay Alfalfa,232.3,7.29
35,Alfalfa,Sierra,866.84009949,"['Lassen', 'Yuba', 'Nevada', 'Plumas']",Hay Alfalfa,225.06,2.75
36,Alfalfa,Siskiyou,40369.77321314,"['Shasta', 'Trinity', 'Humboldt', 'Del Norte', 'Modoc']",Hay Alfalfa,208.73,6.26
37,Alfalfa,Solano,17499.419459830002,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']",Hay Alfalfa,189.43,5.41
38,Alfalfa,Stanislaus,16194.28400368,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']",Hay Alfalfa,196.0,6.93
39,Alfalfa,Sutter,3669.78709341,"['Sacramento', 'Placer', 'Yolo', 'Yuba', 'Colusa', 'Butte']",Hay Alfalfa,238.61,6.25
40,Alfalfa,Tehama,1221.31171555,"['Shasta', 'Trinity', 'Mendocino', 'Butte', 'Plumas', 'Glenn']",Hay Alfalfa,203.54,6.84
41,Alfalfa,Tulare,35349.40083465,"['Kings', 'Inyo', 'Kern', 'Fresno']",Hay Alfalfa,208.0,7.78
42,Alfalfa,Ventura,78.56779911,"['Santa Barbara', 'Los Angeles', 'Kern']",,,
43,Alfalfa,Yolo,23566.07662165,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']",Hay Alfalfa,202.0,5.58
44,Alfalfa,Yuba,244.36145457,"['Sierra', 'Placer', 'Nevada', 'Butte', 'Sutter', 'Plumas']",Hay Alfalfa,239.88,7.21
45,Almonds,Alameda,1409.60803823,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']",,,
46,Almonds,Butte,36064.2977486,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",Almonds All,3501.5,1.12
47,Almonds,Calaveras,252.85755592,"['Tuolumne', 'Alpine', 'San Joaquin', 'Stanislaus', 'Amador']",Almonds All,1980.95,0.12
48,Almonds,Colusa,67455.29373649,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']",Almonds All,3899.73,1.15
49,Almonds,Contra Costa,322.91345344,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",,,
50,Almonds,Fresno,288816.93137824,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Almonds All,3512.0,1.24
51,Almonds,Glenn,56605.98184128,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",Almonds All,3242.93,1.06
52,Almonds,Kern,226873.65282052,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",Almonds All,3894.92,1.24
53,Almonds,Kings,38882.917442,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",Almonds All,3506.02,1.21
54,Almonds,Lake,38.53840527,"['Sonoma', 'Napa', 'Mendocino', 'Yolo', 'Colusa', 'Glenn']",,,
55,Almonds,Madera,159846.03422813,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",Almonds All,3481.45,1.21
56,Almonds,Merced,159489.95296909,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",Almonds All,3648.09,1.25
57,Almonds,Placer,2709.80502841,"['Sacramento', 'El Dorado', 'Yuba', 'Nevada', 'Sutter']",Almonds All,3298.37,0.54
58,Almonds,Riverside,6.07320167,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']",,,
59,Almonds,Sacramento,2316.66629796,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']",Almonds All,3404.35,0.7
60,Almonds,San Joaquin,91205.36446329,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']",Almonds All,3792.52,1.76
61,Almonds,San Luis Obispo,2222.78408553,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']",,,
62,Almonds,Shasta,3.17944378,"['Lassen', 'Trinity', 'Modoc', 'Tehama', 'Plumas', 'Siskiyou']",,,
63,Almonds,Solano,21610.18338875,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']",Almonds All,3595.74,0.77
64,Almonds,Stanislaus,195714.77687017,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']",Almonds All,3720.0,1.06
65,Almonds,Sutter,15648.47434244,"['Sacramento', 'Placer', 'Yolo', 'Yuba', 'Colusa', 'Butte']",Almonds All,3014.32,0.92
66,Almonds,Tehama,18192.33714087,"['Shasta', 'Trinity', 'Mendocino', 'Butte', 'Plumas', 'Glenn']",Almonds All,3493.18,0.94
67,Almonds,Tulare,83314.48910754,"['Kings', 'Inyo', 'Kern', 'Fresno']",Almonds All,3460.0,1.1
68,Almonds,Yolo,42600.12200373,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']",Almonds All,2500.0,1.06
69,Almonds,Yuba,2374.60987309,"['Sierra', 'Placer', 'Nevada', 'Butte', 'Sutter', 'Plumas']",Almonds All,3417.82,0.95
70,Beans Dry,Butte,533.13738375,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",Beans Dry Edible Unspecified,1099.75,2.1
71,Beans Dry,Colusa,2916.02742147,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']",Beans Dry Edible Unspecified,989.03,1.03
72,Beans Dry,Contra Costa,459.15088137,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",,,
73,Beans Dry,Fresno,861.33957619,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Beans Dry Edible Unspecified,,
74,Beans Dry,Glenn,1037.2414482,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",Beans Dry Edible Unspecified,1020.0,1.1
75,Beans Dry,Kern,776.89917944,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",Beans Dry Edible Unspecified,923.73,2.11
76,Beans Dry,Kings,527.10988985,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",,,
77,Beans Dry,Madera,185.29352121,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",,,
78,Beans Dry,Merced,808.39657445,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",Beans Lima Large Dry,1088.64,1.28
79,Beans Dry,Monterey,161.25881571,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']",Beans Dry Edible Unspecified,2080.23,1.5
80,Beans Dry,Riverside,127.42333875,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']",Beans Fresh Unspecified,295.17,25.11
81,Beans Dry,Sacramento,863.44430488,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']",,,
82,Beans Dry,San Benito,102.33197074,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']",,,
83,Beans Dry,San Joaquin,5354.63771834,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']",,,
84,Beans Dry,San Luis Obispo,191.20668982,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']",,,
85,Beans Dry,San Mateo,23.97539207,"['San Francisco', 'Santa Clara', 'Alameda', 'Santa Cruz']",Beans Snap Unspecified,2747.13,2.42
86,Beans Dry,Santa Barbara,873.24719337,"['Ventura', 'Kern', 'San Luis Obispo']",Beans Dry Edible Unspecified,,
87,Beans Dry,Santa Clara,201.51808476,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']",Beans Snap Unspecified,1471.02,4.1
88,Beans Dry,Santa Cruz,39.23827567,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']",,,
89,Beans Dry,Siskiyou,33.31078567,"['Shasta', 'Trinity', 'Humboldt', 'Del Norte', 'Modoc']",,,
90,Beans Dry,Solano,2183.32750177,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']",Beans Dry Edible Unspecified,1015.59,1.39
91,Beans Dry,Stanislaus,4355.90214941,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']",Beans Lima Large Dry,1500.0,1.21
92,Beans Dry,Sutter,3657.5054879,"['Sacramento', 'Placer', 'Yolo', 'Yuba', 'Colusa', 'Butte']",Beans Dry Edible Unspecified,,
93,Beans Dry,Tulare,1840.10298913,"['Kings', 'Inyo', 'Kern', 'Fresno']",Beans Dry Edible Unspecified,1810.13,1.1
94,Beans Dry,Ventura,1153.44227847,"['Santa Barbara', 'Los Angeles', 'Kern']",Beans Fresh Unspecified,840.87,1.18
95,Beans Dry,Yolo,1232.38611742,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']",,,
96,Berries,Butte,17.76337062,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",,,
97,Berries,Contra Costa,5.53704956,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",,,
98,Berries,Del Norte,4.41829814,"['Humboldt', 'Siskiyou']",,,
99,Berries,El Dorado,8.32519697,"['Sacramento', 'Placer', 'Alpine', 'Amador']",,,
100,Berries,Fresno,1526.05476529,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Berries Blueberries,6363.02,3.52
101,Berries,Glenn,85.99669535,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",,,
102,Berries,Humboldt,13.98448141,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']",,,
103,Berries,Kern,1133.63674433,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",Berries Blueberries,6808.0,9.13
104,Berries,Kings,120.52785441,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",,,
105,Berries,Lake,0.56032692,"['Sonoma', 'Napa', 'Mendocino', 'Yolo', 'Colusa', 'Glenn']",,,
106,Berries,Lassen,222.76504006,"['Sierra', 'Shasta', 'Modoc', 'Plumas']",,,
107,Berries,Los Angeles,12.65701873,"['Ventura', 'San Bernardino', 'Kern', 'Orange']",,,
108,Berries,Madera,11.81906621,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",,,
109,Berries,Mendocino,6.97410687,"['Sonoma', 'Trinity', 'Humboldt', 'Tehama', 'Lake', 'Glenn']",,,
110,Berries,Merced,211.30302701,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",,,
111,Berries,Monterey,12793.7477382,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']",Berries Strawberries All,2497.11,36.95
112,Berries,Nevada,2.79855112,"['Sierra', 'Placer', 'Yuba']",,,
113,Berries,Orange,253.2188968,"['Los Angeles', 'San Diego', 'San Bernardino', 'Riverside']",,,
114,Berries,Riverside,15.49062528,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']",Berries Strawberries All,3582.92,10.5
115,Berries,Sacramento,95.6511374,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']",,,
116,Berries,San Benito,147.19599538,"['Monterey', 'Fresno', 'Santa Clara', 'Merced', 'Santa Cruz']",,,
117,Berries,San Bernardino,42.03361621,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']",Berries Strawberries All,6995.0,10.0
118,Berries,San Diego,338.0723721,"['Riverside', 'Orange', 'Imperial']",Berries Strawberries All,2389.63,27.0
119,Berries,San Joaquin,2007.80492809,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']",Berries Blueberries,7063.08,4.23
120,Berries,San Luis Obispo,4290.87810579,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']",Berries Strawberries All,2201.85,32.09
121,Berries,San Mateo,11.38236795,"['San Francisco', 'Santa Clara', 'Alameda', 'Santa Cruz']",,,
122,Berries,Santa Barbara,11998.67383383,"['Ventura', 'Kern', 'San Luis Obispo']",Berries Strawberries All,1906.8,36.33
123,Berries,Santa Clara,6.23286231,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']",,,
124,Berries,Santa Cruz,5164.36748607,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']",Berries Strawberries All,2599.34,34.86
125,Berries,Shasta,208.83835706,"['Lassen', 'Trinity', 'Modoc', 'Tehama', 'Plumas', 'Siskiyou']",,,
126,Berries,Siskiyou,2566.16723829,"['Shasta', 'Trinity', 'Humboldt', 'Del Norte', 'Modoc']",,,
127,Berries,Solano,28.75581274,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']",,,
128,Berries,Sonoma,31.87768521,"['Marin', 'Napa', 'Mendocino', 'Solano', 'Contra Costa', 'Lake']",,,
129,Berries,Stanislaus,91.42468649,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']",,,
130,Berries,Sutter,8.09835347,"['Sacramento', 'Placer', 'Yolo', 'Yuba', 'Colusa', 'Butte']",,,
131,Berries,Tehama,155.56292998,"['Shasta', 'Trinity', 'Mendocino', 'Butte', 'Plumas', 'Glenn']",,,
132,Berries,Tulare,2398.46430406,"['Kings', 'Inyo', 'Kern', 'Fresno']",Berries Blueberries,6210.0,4.49
133,Berries,Ventura,14342.45550944,"['Santa Barbara', 'Los Angeles', 'Kern']",Berries Strawberries All,2538.04,25.76
134,Berries,Yolo,4.23089347,"['Sacramento', 'Napa', 'Solano', 'Colusa', 'Sutter', 'Lake']",,,
135,Corn,Alameda,71.30338296,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']",,,
136,Corn,Amador,2.21239761,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']",,,
137,Corn,Butte,542.09458935,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",,,
138,Corn,Colusa,4285.43961416,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']",Corn Grain,173.35,6.73
139,Corn,Contra Costa,8785.28862218,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",Corn Sweet All,611.17,10.48
140,Corn,Fresno,39307.75062115,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Corn Silage,52.0,19.68
141,Corn,Glenn,9866.37441019,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",Corn Grain,,
142,Corn,Humboldt,818.72880491,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']",,,
143,Corn,Imperial,52815.32823203,"['San Diego', 'Riverside']",Corn Sweet All,560.76,22.44
144,Corn,Kern,41463.45966004,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",,,
145,Corn,Kings,59616.11393967,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",Corn Silage,51.31,26.36
146,Corn,Lake,8.66806388,"['Sonoma', 'Napa', 'Mendocino', 'Yolo', 'Colusa', 'Glenn']",,,
147,Corn,Lassen,5.67933692,"['Sierra', 'Shasta', 'Modoc', 'Plumas']",,,
148,Corn,Los Angeles,164.31775328,"['Ventura', 'San Bernardino', 'Kern', 'Orange']",,,
149,Corn,Madera,19522.10282408,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",Corn Silage,52.95,26.11
150,Corn,Marin,11.66673111,"['Sonoma', 'San Francisco', 'Solano', 'Contra Costa']",,,
151,Corn,Merced,95743.33223181,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",Corn Silage,45.69,25.9
152,Corn,Monterey,1.71309198,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']",,,
153,Corn,Placer,208.99322334,"['Sacramento', 'El Dorado', 'Yuba', 'Nevada', 'Sutter']",,,
154,Corn,Riverside,3604.37175479,"['San Diego', 'San Bernardino', 'Orange', 'Imperial']",Corn Sweet All,421.69,15.63
155,Corn,Sacramento,22667.43380677,"['Placer', 'Solano', 'Contra Costa', 'El Dorado', 'Yolo', 'San Joaquin', 'Sutter', 'Amador']",Corn Grain,145.65,4.51
156,Corn,San Bernardino,2143.68554566,"['Los Angeles', 'Inyo', 'Riverside', 'Kern', 'Orange']",Corn Silage,50.42,17.39
157,Corn,San Joaquin,66180.97598666,"['Sacramento', 'Calaveras', 'Contra Costa', 'Alameda', 'Stanislaus', 'Amador']",Corn Silage,62.45,27.34
158,Corn,San Luis Obispo,62.45082192,"['Santa Barbara', 'Kings', 'Monterey', 'Kern']",,,
159,Corn,Santa Clara,788.29103552,"['San Benito', 'Alameda', 'Merced', 'Stanislaus', 'San Mateo', 'Santa Cruz']",Corn Sweet All,547.05,10.77
160,Corn,Santa Cruz,4.4089396,"['Monterey', 'San Benito', 'Santa Clara', 'San Mateo']",,,
161,Corn,Siskiyou,145.30591772,"['Shasta', 'Trinity', 'Humboldt', 'Del Norte', 'Modoc']",,,
162,Corn,Solano,9382.39889744,"['Sacramento', 'Sonoma', 'Marin', 'Napa', 'Contra Costa', 'Yolo']",Corn Grain,171.6,5.55
163,Corn,Sonoma,10.485176030000002,"['Marin', 'Napa', 'Mendocino', 'Solano', 'Contra Costa', 'Lake']",Corn Silage,54.15,23.47
164,Corn,Stanislaus,52914.30317377,"['Calaveras', 'Mariposa', 'Tuolumne', 'Santa Clara', 'San Joaquin', 'Alameda', 'Merced']",Corn Silage,51.0,26.62
